,band,center_frequency_GHz,fwhm_arcmin,telescope,tube,bandpass_low,bandpass_high
LT0_UHF1,UHF1,225.7,1.0,LA,LT0,196.7,254.7
LT0_UHF2,UHF2,285.4,0.9,LA,LT0,258.4,312.4
LT1_UHF1,UHF1,225.7,1.0,LA,LT1,196.7,254.7
LT1_UHF2,UHF2,285.4,0.9,LA,LT1,258.4,312.4
LT2_MFF1,MFF1,92.0,2.2,LA,LT2,79.0,105.0
LT2_MFF2,MFF2,147.5,1.4,LA,LT2,130.0,165.0
LT3_MFF1,MFF1,92.0,2.2,LA,LT3,79.0,105.0
LT3_MFF2,MFF2,147.5,1.4,LA,LT3,130.0,165.0
LT4_MFS1,MFS1,88.6,2.2,LA,LT4,75.6,101.6
LT4_MFS2,MFS2,146.5,1.4,LA,LT4,128.0,165.0
LT5_MFS1,MFS1,88.6,2.2,LA,LT5,75.6,101.6
LT5_MFS2,MFS2,146.5,1.4,LA,LT5,128.0,165.0
LT6_LF1,LF1,25.7,7.4,LA,LT6,21.7,29.7
LT6_LF2,LF2,38.9,5.1,LA,LT6,30.9,46.9
ST0_UHF1,UHF1,225.7,19.0,SA,ST0,196.7,254.7
ST0_UHF2,UHF2,285.4,17.0,SA,ST0,258.4,312.4
ST1_MFF1,MFF1,92.0,42.0,SA,ST1,79.0,105.0
ST1_MFF2,MFF2,147.5,27.0,SA,ST1,130.0,165.0
ST2_MFS1,MFS1,88.6,42.0,SA,ST2,75.6,101.6
ST2_MFS2,MFS2,146.5,27.0,SA,ST2,128.0,165.0
ST3_LF1,LF1,25.7,144.0,SA,ST3,21.7,29.7
ST3_LF2,LF2,38.9,99.0,SA,ST3,30.9,46.9
